iter	Passed	Remaining
215	1123	14483
216	1128	14467
217	1133	14462
218	1154	14666
219	1159	14654
220	1166	14664
221	1170	14644
222	1173	14617
223	1179	14618
224	1182	14581
225	1185	14551
226	1189	14532
227	1194	14526
228	1198	14504
229	1202	14476
230	1206	14460
231	1210	14445
232	1213	14413
233	1216	14384
234	1221	14368
235	1225	14355
236	1228	14324
237	1233	14312
238	1237	14293
239	1241	14278
240	1244	14249
241	1247243	124242	1250244	125243	1253245	125244	1259246	125245251	1119	12205
252	1248	1272	1253	1249	1277	1254	1137	12239
255	1143	12259
256	1147	12252
257	1154	12266
258	1159	12273
259	1164	12271
260	1169	12270
261	1175	12288
262	1181	12297
263	1188	12316
264	1195	12343
265	1200	12338
266	1212	12406
267	1233	12577
268	1239	12582
269	1249	12634
270	1259	12684
271	1262	12664
272	1266	12653
273	1270	12639
274	1278	12667
275	1282	12653
276	1285	12635
277	1289	12624
278	1292	12606
279	1296	12595
280	1299	12575
281	1303	12560
282	1309	12568
283	1312	12554
284	1316	12539
285	1319	12523
286	1325	12529
287	1329	12515
288	1333	12504
289	1335	12484
290	1340	12478
291	1343	12461
292	1346	12444
293	1350	12432
294	1353	12414
295	1360	12424
296	1363	12405
297	1365	12383
298	1368	12366
299	1373	12357
300	1375	12333
301	1380	12332
302	1383	12311
303	1386	12297
304	1390	12286
305	1394	12273
306	1399	12278
307	1402	12260
308	1406	12249
309	1410	12236
310	1413	12221
311	1417	12208
312	1420	12196
313	1423	12180
314	1426	12162
315	1430	12148
316	1434	12139
317	1447	12205
318	1456	12242
319	1461	12244
320	1471	12281
321	1474	12262
322	1477	12246
323	1480	12226
324	1483	12209
325	1488	12208
326	1492	12197
327	1495	12179
328	1497	12161
329	1501	12150
330	1506	12151
331	1509	12128
332	1512	12111
333	1515	12096
334	1518	12080
335	1522	12069
336	1526	12059
337	1531	12058
338	1533	12039
339	1537	12026
340	1540	12010
341	1543	11995
342	1546	11979
343	1549	11965
344	1555	11970
345	1557	11950
346	1560	11928
347	1563	11914
348	1566	11899
349	1569	11884
350	1573	11875
351	1576	11858
352	1584	11884
353	1587	11862
354	1590	11846
355	1592	11830
356	1352	1739	1357	1353	1744	1358	1354	1748	1359	1355	1752	1360	1356	1756	13005
357	1763	13015
358	1769	13015
359	1775	13018
360	1781	13025
361	1788	13030
362	1794	13038
363	1799	13032
364	1804	13026
365	1813	13054
366	1822	13071
367	1826	13061
368	1831	13059
369	1836	13055
370	1842	13055
371	1846	13044
372	1851	13037
373	1855	13031
374	1866	13067
375	1872	13066
376	1883	13107
377	1890	13110
378	1894	13100
379	1898	1384	1773	12043
385	1777	12036
386	1782	12035
387	1786	12025
388	1789	12010
389	1793	11999
390	1807	12062
391	1822	12125
392	1834	12166
393	1844	12200
394	1849	12198
395	1854	12193
396	1858	12187
397	1872	12239
398	1877	12238
399	1884	12250
400	1888	12238
401	1890	12219
402	1895	12212
403	1906	12251
404	1910	12244
405	1913	12226
406	1916	12212
407	1934	12291
408	1939	12286
409	1943	12278
410	1956	12326
411	1961	12319
412	1965	12314
413	1969	12303
414	1973	12292
415	1977	12281
416	1983	12283
417	1986	12272
418	1993	12278
419	1997	12271
420	2004	12281
421	2010	12282
422	2017	12288
423	2020	12277
424	2027	12285
425	2032	12279
426	2042	12306
427	2046	12300
428	2051	12294
429	2055	12287
430	2064	12304
431	2067	12291
432	2071	12279
433	2074	12266
434	2078	12254
435	2081	12243
436	2085	12232
437	2089	12221
438	2092	12209
439	2098	12209
440	2106	12225
441	2111	12218
442	2114	12207
443	2118	12196
444	2122	12186
445	2127	12183
446	2132	12179
447	2137	12174
448	2444	2290	1449	2445	2295	1450	2446	2299	1451	2447	2304	1452	2448	2312	13136
449	2317	13133
450	2326	13147
451	2331	13142
452	2335	13130
453	2339	13121
454	2343	13108
455	2349	13106
456	2359	13127
457	2365	13130
458	2371	13129
459	2376	13123
460	2382	13120
461	2387	13115
462	2393	13116
463	2397	13101
464	2402	13099
465	2407	13091
466	2411	13077
467	2414	13063
468	2418	13049
469	2425	13055
470	2432	13060
471	2438	13058
472	2442	13048
473	2449	13055
474	2457	13061
475	2460	13048
476	2464	13034
477	2468	13024
478	2476	13032
479	2480	13024
480	2486	13022
481	2490	13009
482	2493	12996
483	2497	12983
484	2501	12972
485	2507	12973
486	2512	12966
487	2518	12962
488	2523	12957
489	2527	12946
490	2531	12937
491	2536	12929
492	2541	12922
493	2546	12918
494	2551	12913
495	2557	12912
496	2562	12904
497	2567	12901
498	2571	12890
499	2576	12883
500	2583	12884
501	2588	12881
502	2594	12878
503	2598	12867
504	2605	12870
505	2608	12857
506	2612	12844
507	2616	12832
508	2619	12820
509	2623	12808
510	2628	12801
511	2633	12799
512	2637	12788
513	2642	12779
514	2648	12778
515	2651	12765
516	2655	12753
517	2659	12740
518	2662	12728
519	2666	12717
520	2670	12707
521	2676	12704
522	2679	12692
523	2683	12680
524	2687	1529	2525	2690	1530	2526	2694	1531	2553	11843
532	2559	11844
533	2564	11843
534	2570	11844
535	2575	11838
536	2580	11837
537	2589	11847
538	2594	11844
539	2600	11844
540	2606	11845
541	2609	11834
542	2613	11825
543	2617	11819
544	2622	11812
545	2626	11803
546	2630	11797
547	2635	11793
548	2640	11789
549	2646	11787
550	2667	11854
551	2673	11857
552	2679	11855
553	2686	11862
554	2693	11865
555	2699	11866
556	2704	11862
557	2708	11855
558	2715	11856
559	2719	11850
560	2724	11843
561	2728	11835
562	2733	11831
563	2739	11832
564	2745	11831
565	2750	11830
566	2754	11819
567	2758	11812
568	2764	11810
569	2768	11803
570	2774	11803
571	2784	11820
572	2790	11819
573	2797	11825
574	2802	11817
575	2807	11813
576	2812	11811
577	2819	11814
578	2825	11813
579	2833	11820
580	2837	11814
581	2847	11832
582	2853	11831
583	2857	11822
584	2861	11813
585	2865	11803
586	2868	11793
587	2872	11783
588	2876	11772
589	2880	11764
590	2883	11754
591	2888	11748
592	2893	11742
593	2896	11732
594	2901	11726
595	2904	11716
596	2908	11707
597	2915	11710
598	2923	11716
599	2928	11712
600	2932	11703
601	2936	11696
602	2940	11687
603	2943	11677
604	2947	11667
605	2950	11657
606	2955	11652
607	2963	11657
608	2967	11649
609	2970	11640
610	2977	11643
611	2982	11637
612	2987	11631
613	2991	11624
614	2997	11626
615	3002	11620
616	3006	11610
617	3011	11606
618	3019	11613
619	3023	11605
620	3029	11607
621	3035	11603
622	3038	11594
623	3044	11594
624	3049	11588
625	3053	11580
626	3061	11586
627	3065	11580
628	3070	11573
629	3075	11568
630	3080	11565
631	3091	11584
632	3100	11592
633	3103	11582
634	3107	11572
635	3111	11567
636	3117	11564
637	3122	11560
638	3127	11555
639	3130	11545
640	3135	11538
641	3138	11527
642	3143	11521
643	3146	11512
644	3151	11506
645	3159	11514
646	3166	11515
647	3171	11510
648	3176	11505
649	3180	11499
650	3184	11489
651	3187	11479
652	3195	11484
653	3200	11479
654	3205	11477
655	3212	11477
656	3217	11475
657	3223	11471
658	3227	11466
659	3233	11463
660	3237	11457
661	3244	11459
662	3249	11455
663	3253	11445
664	3257	11439
665	3261	11431
666	3265	11423
667	3270	11417
668	3275	11414
669	3280	11409
670	3285	11405
671	3291	11404
672	3296	11396
673	3300	11390
674	3305	11386
675	3315	11398
676	3321	11396
677	3327	11395
678	3336	11404
679	3340	11395
680	3343	11386
681	3349	11382
682	3356	11385
683	3374	11427
684	3382	11429
685	3395	11453
686	3399	11444
687	3403	11437
688	3412	11444
689	3417	11439
690	3422	11436
691	3426	11428
692	3430	11418
693	3433	11409
694	3439	11407
695	3445	11404
696	3449	11397
697	3453	11390
698	3457	11382
699	3461	11372
700	3465	11366
701	3470	11360
702	3475	11354
703	3481	11354
704	3487	11352
705	3491	11343
706	3494	11334
707	3498	11325
708	3501	11315
709	3505	11306
710	3509	11299
711	3514	11294
712	3520	11290
713	3525	11288
714	3529	11279
715	3532	11269
716	3537	11262
717	3541	11256
718	3545	11246
719	3549	11240
720	3554	11235
721	3557	11225
722	3562	11219
723	3566	11211
724	3569	11201
725	3575	11198
726	3580	11195
727	3584	11187
728	3588	11178
729	3591	11169
730	3595	11160
731	3599	11151
732	3601	11138
733	3605	11132
734	3610	11124
735	3613	11114
736	3617	11107
737	3620	11096
738	3623	11087
739	3628	11080
740	3631	11069
741	3635	11061
742	3638	11051
743	3641	11041
744	3644	11031
745	3647	11019
746	3650	11011
747	3654	11002
748	3659	10996
749	3662	10988
750	3666	10979
751	3670	10973
752	3674	10963
753	3677	10953
754	3679	10942
755	3682	10929
756	3685	10919
757	3688	10909
758	3691	10898
759	3694	10887
760	3697	10879
761	3700	10867
762	3702	10855
763	3705	10844
764	3708	10834
765	3710	10822
766	3713	10810
767	3715	10799
768	3718	10787
769	3721	10777
770	3723	10766
771	3726	10754
772	3728	10742
773	3731	10732
774	3733	10720
775	3736	10708
776	3738	10696
777	3741	10684
778	3743	10673
779	3746	10661
780	3748	10650
781	3751	10641
782	3754	10629
783	3756	10618
784	3758	10606
785	3761	10595
786	3763	10583
787	3766	10572
788	3768	10561
789	3771	10549
790	3773	10539
791	3776	10529
792	3779	10517
793	3781	10507
794	3784	10497
795	3787	10486
796	3789	10474
797	3791	10463
798	3794	10452
799	3796	10441
800	3799	10432
801	3802	10420
802	3804	10409
803	3807	10398
804	3809	10388
805	3812	10377
806	3814	10366
807	3831	10395
808	3833	10383
809	3836	10372
810	3838	10360
811	3840	10349
812	3842	10337
813	3845	10326
814	3847	10314
815	3850	10305
816	3852	10294
817	3855	10283
818	3857	10271
819	3859	10259
820	3861	10248
821	3863	10237
822	3866	10226
823	3868	10215
824	3870	10203
825	3872	10191
826	3874	10179
827	3876	10168
828	3878	10157
829	3880	10145
830	3883	10135
831	3885	10124
832	3887	10113
833	3889	10102
834	3892	10091
835	3894	10080
836	3896	10069
837	3898	10058
838	3901	10048
839	3903	10037
840	3906	10027
841	3908	10016
842	3910	10005
843	3912	9994
844	3915	9985
845	3917	9974
846	3919	9963
847	3922	9953
848	3924	9942
849	3926	9932
850	3928	9921
851	3931	9911
852	3933	9900
853	3935	9889
854	3937	9878
855	3939	9867
856	3942	9857
857	3944	9847
858	3946	9836
859	3948	9826
860	3951	9816
861	3953	9806
862	3955	9795
863	3957	9784
864	3960	9774
865	3962	9765
866	3964	9754
867	3967	9744
868	3969	9734
869	3971	9723
870	3973	9713
871	3975	9702
872	3978	9692
873	3980	9682
874	3982	9672
875	3984	9661
876	3986	9651
877	3989	9641
878	3991	9630
879	3993	9621
880	3996	9612
881	3998	9602
882	4000	9592
883	4003	9582
884	4005	9571
885	4007	9562
886	4009	9552
887	4011	9542
888	4014	9532
889	4016	9522
890	4018	9512
891	4020	9502
892	4023	9492
893	4025	9482
894	4028	9474
895	4030	9465
896	4033	9456
897	4035	9446
898	4037	9436
899	4039	9426
900	4042	9417
901	4044	9408
902	4047	9398
903	4049	9388
904	4051	9379
905	4053	9369
906	4056	9359
907	4058	9349
908	4060	9339
909	4062	9330
910	4065	9321
911	4067	9312
912	4069	9303
913	4072	9293
914	4074	9283
915	4076	9274
916	4079	9265
917	4081	9256
918	4083	9247
919	4086	9238
920	4088	9228
921	4090	9219
922	4092	9209
923	4094	9200
924	4097	9190
925	4099	9181
926	4101	9171
927	4103	9162
928	4105	9153
929	4107	9143
930	4110	9135
931	4112	9125
932	4115	9116
933	4117	9107
934	4119	9097
935	4121	9088
936	4123	9079
937	4125	9069
938	4127	9059
939	4130	9051
940	4132	9042
941	4134	9033
942	4136	9023
943	4139	9015
944	4141	9005
945	4143	8996
946	4145	8987
947	4147	8978
948	4149	8968
949	4151	8959
950	4154	8950
951	4156	8941
952	4158	8931
953	4160	8923
954	4163	8914
955	4165	8905
956	4167	8896
957	4169	8887
958	4172	8879
959	4174	8871
960	4177	8863
961	4179	8853
962	4181	8845
963	4183	8836
964	4186	8828
965	4188	8819
966	4190	8810
967	4193	8802
968	4195	8793
969	4197	8784
970	4199	8776
971	4202	8767
972	4204	8758
973	4206	8749
974	4208	8741
975	4210	8732
976	4212	8723
977	4215	8715
978	4217	8707
979	4220	8698
980	4222	8689
981	4224	8682
982	4227	8673
983	4229	8664
984	4231	8656
985	4233	8648
986	4235	8639
987	4238	8630
988	4240	8621
989	4242	8613
990	4244	8604
991	4246	8595
992	4248	8586
993	4250	8577
994	4252	8569
995	4254	8561
996	4256	8552
997	4259	8544
998	4261	8536
999	4263	8527
1000	4266	8519
1001	4268	8510
1002	4270	8502
1003	4272	8493
1004	4274	8485
1005	4276	8477
1006	4279	8469
1007	4281	8460
1008	4283	8451
1009	4285	8443
1010	4287	8434
1011	4289	8426
1012	4291	8418
1013	4293	8410
1014	4295	8401
1015	4297	8392
1016	4299	8384
1017	4301	8375
1018	4303	8366
1019	4306	8359
1020	4308	8351
1021	4311	8344
1022	4314	8337
1023	4316	8329
1024	4319	8322
1025	4322	8315
1026	4325	8310
1027	4328	8302
1028	4330	8295
1029	4333	8287
1030	4335	8279
1031	4338	8272
1032	4340	8265
1033	4343	8258
1034	4345	8250
1035	4348	8243
1036	4350	8235
1037	4353	8228
1038	4356	8221
1039	4358	8213
1040	4361	8206
1041	4363	8199
1042	4365	8191
1043	4368	8184
1044	4371	8178
1045	4375	8172
1046	4377	8165
1047	4380	8158
1048	4382	8150
1049	4384	8143
1050	4387	8136
1051	4390	8129
1052	4392	8122
1053	4395	8114
1054	4397	8107
1055	4400	8100
1056	4403	8093
1057	4408	8092
1058	4411	8086
1059	4416	8082
1060	4420	8078
1061	4423	8072
1062	4426	8066
1063	4429	8060
1064	4432	8054
1065	4435	8047
1066	4438	8041
1067	4442	8035
1068	4444	8028
1069	4447	8021
1070	4449	8014
1071	4452	8008
1072	4455	8002
1073	4458	7994
1074	4460	7987
1075	4462	7979
1076	4464	7971
1077	4466	7963
1078	4468	7955
1079	4471	7949
1080	4473	7941
1081	4476	7935
1082	4479	7928
1083	4482	7922
1084	4484	7915
1085	4487	7908
1086	4489	7901
1087	4492	7894
1088	4494	7887
1089	4497	7880
1090	4499	7873
1091	4502	7866
1092	4505	7860
1093	4508	7854
1094	4510	7847
1095	4513	7840
1096	4515	7833
1097	4517	7825
1098	4520	7819
1099	4522	7812
1100	4525	7805
1101	4527	7798
1102	4530	7791
1103	4533	7785
1104	4536	7779
1105	4538	7772
1106	4541	7765
1107	4543	7757
1108	4545	7751
1109	4547	7743
1110	4550	7736
1111	4552	7730
1112	4555	7724
1113	4558	7717
1114	4561	7711
1115	4563	7704
1116	4566	7697
1117	4568	7690
1118	4570	7683
1119	4573	7676
1120	4576	7670
1121	4578	7663
1122	4580	7656
1123	4582	7649
1124	4585	7642
1125	4588	7637
1126	4591	7630
1127	4593	7623
1128	4596	7617
1129	4599	7610
1130	4601	7604
1131	4603	7596
1132	4605	7589
1133	4607	7582
1134	4610	7575
1135	4612	7568
1136	4614	7561
1137	4618	7556
1138	4620	7548
1139	4622	7541
1140	4624	7534
1141	4626	7527
1142	4629	7520
1143	4631	7513
1144	4633	7507
1145	4636	7500
1146	4638	7493
1147	4640	7486
1148	4642	7479
1149	4644	7471
1150	4646	7464
1151	4649	7458
1152	4651	7451
1153	4654	7445
1154	4656	7437
1155	4658	7430
1156	4660	7424
1157	4662	7416
1158	4664	7410
1159	4667	7403
1160	4669	7396
1161	4672	7389
1162	4674	7382
1163	4676	7375
1164	4678	7368
1165	4680	7362
1166	4683	7356
1167	4685	7349
1168	4687	7342
1169	4689	7335
1170	4692	7328
1171	4694	7322
1172	4697	7316
1173	4699	7309
1174	4702	7303
1175	4704	7296
1176	4706	7289
1177	4707	7281
1178	4709	7274
1179	4711	7267
1180	4714	7261
1181	4716	7254
1182	4719	7248
1183	4732	7257
1184	4734	7252
1185	4737	7246
1186	4740	7239
1187	4742	7233
1188	4744	7226
1189	4746	7220
1190	4749	7213
1191	4752	7208
1192	4755	7202
1193	4757	7196
1194	4760	7190
1195	4763	7184
1196	4766	7179
1197	4769	7173
1198	4771	7166
1199	4773	7160
1200	4776	7155
1201	4779	7149
1202	4782	7144
1203	4785	7137
1204	4787	7131
1205	4789	7124
1206	4792	7119
1207	4794	7112
1208	4797	7107
1209	4800	7101
1210	4802	7095
1211	4805	7089
1212	4808	7083
1213	4810	7077
1214	4813	7071
1215	4815	7065
1216	4818	7059
1217	4821	7053
1218	4823	7047
1219	4826	7041
1220	4828	7035
1221	4831	7029
1222	4834	7024
1223	4836	7018
1224	4839	7012
1225	4842	7006
1226	4844	7000
1227	4847	6995
1228	4850	6989
1229	4852	6983
1230	4855	6976
1231	4857	6971
1232	4860	6965
1233	4863	6960
1234	4866	6955
1235	4868	6948
1236	4871	6943
1237	4873	6936
1238	4876	6930
1239	4878	6924
1240	4882	6919
1241	4884	6913
1242	4886	6907
1243	4889	6901
1244	4892	6896
1245	4894	6890
1246	4896	6884
1247	4899	6878
1248	4901	6871
1249	4904	6866
1250	4907	6860
1251	4910	6855
1252	4912	6849
1253	4914	6843
1254	4917	6837
1255	4920	6831
1256	4922	6826
1257	4925	6820
1258	4927	6814
1259	4930	6808
1260	4932	6802
1261	4934	6795
1262	4937	6790
1263	4940	6784
1264	4942	6778
1265	4945	6773
1266	4947	6767
1267	4949	6761
1268	4952	6755
1269	4955	6750
1270	4957	6744
1271	4960	6738
1272	4963	6733
1273	4965	6727
1274	4968	6722
1275	4971	6716
1276	4973	6710
1277	4975	6704
1278	4978	6698
1279	4980	6692
1280	4982	6686
1281	4985	6680
1282	4987	6675
1283	4990	6669
1284	4992	6663
1285	4995	6657
1286	4997	6652
1287	5000	6646
1288	5002	6640
1289	5005	6635
1290	5007	6629
1291	5010	6623
1292	5013	6618
1293	5016	6613
1294	5018	6607
1295	5020	6601
1296	5023	6595
1297	5026	6590
1298	5028	6584
1299	5030	6578
1300	5033	6573
1301	5036	6567
1302	5038	6562
1303	5041	6556
1304	5044	6551
1305	5046	6546
1306	5049	6540
1307	5051	6534
1308	5053	6528
1309	5056	6522
1310	5058	6517
1311	5061	6511
1312	5063	6506
1313	5065	6500
1314	5068	6494
1315	5070	6488
1316	5072	6482
1317	5074	6476
1318	5076	6470
1319	5078	6463
1320	5080	6457
1321	5083	6452
1322	5085	6445
1323	5087	6440
1324	5089	6434
1325	5092	6428
1326	5094	6422
1327	5096	6416
1328	5098	6411
1329	5101	6405
1330	5103	6399
1331	5105	6393
1332	5107	6387
1333	5109	6381
1334	5111	6375
1335	5114	6369
1336	5116	6364
1337	5118	6358
1338	5120	6351
1339	5122	6346
1340	5125	6340
1341	5127	6334
1342	5129	6329
1343	5132	6323
1344	5134	6317
1345	5136	6311
1346	5138	6305
1347	5140	6300
1348	5142	6294
1349	5145	6288
1350	5147	6282
1351	5149	6276
1352	5151	6271
1353	5153	6265
1354	5155	6259
1355	5158	6253
1356	5160	6248
1357	5162	6242
1358	5164	6236
1359	5166	6230
1360	5168	6224
1361	5171	6219
1362	5173	6213
1363	5176	6208
1364	5178	6203
1365	5181	6197
1366	5183	6192
1367	5185	6186
1368	5187	6180
1369	5190	6175
1370	5192	6169
1371	5194	6163
1372	5196	6157
1373	5198	6152
1374	5200	6146
1375	5203	6140
1376	5204	6134
1377	5207	6129
1378	5209	6123
1379	5211	6117
1380	5213	6112
1381	5216	6107
1382	5219	6102
1383	5222	6097
1384	5224	6092
1385	5227	6087
1386	5229	6081
1387	5232	6076
1388	5234	6070
1389	5236	6065
1390	5239	6060
1391	5242	6055
1392	5244	6050
1393	5247	6045
1394	5250	6040
1395	5252	6035
1396	5255	6030
1397	5257	6024
1398	5259	6018
1399	5261	6013
1400	5264	6008
1401	5266	6002
1402	5268	5997
1403	5271	5992
1404	5274	5988
1405	5276	5982
1406	5279	5976
1407	5281	5971
1408	5283	5966
1409	5286	5960
1410	5288	5956
1411	5291	5950
1412	5293	5945
1413	5295	5939
1414	5298	5934
1415	5300	5929
1416	5302	5923
1417	5305	5918
1418	5307	5913
1419	5309	5908
1420	5312	5903
1421	5315	5898
1422	5317	5892
1423	5319	5887
1424	5322	5882
1425	5324	5877
1426	5327	5872
1427	5329	5867
1428	5332	5862
1429	5335	5857
1430	5338	5853
1431	5340	5847
1432	5343	5842
1433	5345	5837
1434	5347	5832
1435	5350	5827
1436	5352	5821
1437	5355	5817
1438	5357	5811
1439	5359	5806
1440	5362	5801
1441	5364	5796
1442	5367	5791
1443	5370	5786
1444	5373	5782
1445	5375	5777
1446	5377	5771
1447	5380	5766
1448	5382	5761
1449	5384	5755
1450	5387	5750
1451	5389	5745
1452	5392	5741
1453	5394	5735
1454	5396	5730
1455	5398	5725
1456	5401	5720
1457	5404	5715
1458	5407	5710
1459	5409	5705
1460	5418	5707
1461	5421	5703
1462	5423	5698
1463	5426	5693
1464	5428	5687
1465	5430	5682
1466	5433	5677
1467	5435	5672
1468	5438	5667
1469	5440	5662
1470	5442	5657
1471	5444	5651
1472	5447	5646
1473	5450	5642
1474	5453	5638
1475	5456	5633
1476	5461	5631
1477	5465	5628
1478	5469	5624
1479	5472	5620
1480	5475	5615
1481	5477	5610
1482	5480	5605
1483	5482	5600
1484	5485	5596
1485	5488	5591
1486	5491	5587
1487	5493	5582
1488	5495	5577
1489	5498	5571
1490	5500	5566
1491	5503	5562
1492	5505	5557
1493	5508	5552
1494	5510	5547
1495	5512	5542
1496	5515	5537
1497	5517	5532
1498	5519	5527
1499	5522	5522
1500	5524	5517
1501	5526	5511
1502	5529	5507
1503	5531	5502
1504	5534	5497
1505	5537	5493
1506	5539	5487
1507	5541	5483
1508	5544	5478
1509	5546	5473
1510	5548	5467
1511	5551	5463
1512	5553	5458
1513	5556	5453
1514	5558	5448
1515	5560	5443
1516	5563	5438
1517	5565	5433
1518	5568	5429
1519	5570	5424
1520	5573	5419
1521	5575	5414
1522	5578	5409
1523	5580	5405
1524	5583	5400
1525	5586	5395
1526	5588	5390
1527	5590	5385
1528	5592	5380
1529	5595	5375
1530	5597	5371
1531	5600	5366
1532	5602	5361
1533	5605	5356
1534	5607	5351
1535	5609	5346
1536	5611	5341
1537	5614	5336
1538	5617	5332
1539	5620	5328
1540	5622	5323
1541	5624	5318
1542	5627	5313
1543	5629	5308
1544	5631	5303
1545	5634	5299
1546	5636	5294
1547	5639	5289
1548	5641	5284
1549	5643	5279
1550	5646	5274
1551	5648	5270
1552	5651	5265
1553	5653	5260
1554	5655	5255
1555	5658	5250
1556	5660	5245
1557	5662	5241
1558	5665	5236
1559	5667	5231
1560	5669	5226
1561	5672	5221
1562	5674	5217
1563	5676	5212
1564	5679	5207
1565	5682	5203
1566	5685	5198
1567	5687	5194
1568	5689	5189
1569	5692	5184
1570	5694	5179
1571	5697	5175
1572	5699	5170
1573	5702	5166
1574	5704	5161
1575	5707	5156
1576	5709	5152
1577	5711	5147
1578	5714	5142
1579	5717	5138
1580	5719	5133
1581	5721	5128
1582	5724	5124
1583	5726	5119
1584	5730	5115
1585	5732	5110
1586	5735	5106
1587	5737	5101
1588	5740	5097
1589	5742	5092
1590	5744	5087
1591	5747	5083
1592	5750	5078
1593	5753	5074
1594	5755	5070
1595	5758	5065
1596	5760	5060
1597	5763	5056
1598	5765	5051
1599	5767	5046
1600	5770	5042
1601	5772	5037
1602	5774	5032
1603	5777	5028
1604	5780	5023
1605	5782	5019
1606	5785	5014
1607	5787	5009
1608	5789	5005
1609	5791	5000
1610	5794	4995
1611	5798	4992
1612	5800	4988
1613	5803	4983
1614	5805	4979
1615	5807	4974
1616	5810	4969
1617	5812	4965
1618	5815	4960
1619	5817	4955
1620	5819	4950
1621	5821	4946
1622	5824	4941
1623	5826	4936
1624	5829	4932
1625	5831	4927
1626	5833	4923
1627	5836	4918
1628	5839	4914
1629	5841	4909
1630	5844	4905
1631	5846	4900
1632	5849	4896
1633	5851	4891
1634	5853	4887
1635	5856	4882
1636	5858	4878
1637	5861	4874
1638	5864	4870
1639	5867	4865
1640	5869	4861
1641	5872	4856
1642	5874	4851
1643	5877	4847
1644	5879	4842
1645	5881	4838
1646	5884	4833
1647	5886	4829
1648	5888	4824
1649	5891	4819
1650	5893	4815
1651	5896	4811
1652	5899	4807
1653	5901	4802
1654	5904	4798
1655	5907	4794
1656	5909	4789
1657	5912	4785
1658	5915	4781
1659	5917	4776
1660	5919	4772
1661	5922	4767
1662	5925	4763
1663	5927	4759
1664	5930	4754
1665	5932	4750
1666	5934	4745
1667	5937	4741
1668	5939	4736
1669	5942	4732
1670	5945	4728
1671	5947	4723
1672	5949	4719
1673	5952	4714
1674	5955	4710
1675	5957	4706
1676	5960	4702
1677	5962	4697
1678	5964	4692
1679	5967	4688
1680	5969	4684
1681	5972	4679
1682	5975	4675
1683	5977	4671
1684	5979	4666
1685	5982	4662
1686	5984	4657
1687	5987	4653
